oh,vfatId,vfatCh,iEta,strip,chamber
0,6,113,2,136,4
0,6,114,1,135,4
0,6,115,2,135,4
0,6,116,1,134,4
0,6,117,2,134,4
0,6,118,1,133,4
0,6,119,2,133,4
0,6,120,1,132,4
0,6,121,2,132,4
0,6,122,1,131,4
0,6,123,2,131,4
0,6,124,1,130,4
0,6,125,2,130,4
0,6,126,1,129,4
0,6,127,2,129,4
0,8,0,1,128,4
0,8,1,2,128,4
0,8,2,1,127,4
0,8,3,2,127,4
0,8,4,1,126,4
0,8,5,2,126,4
0,8,6,1,125,4
0,8,7,2,125,4
0,8,8,1,124,4
0,8,9,2,124,4
0,8,10,1,123,4
0,8,11,2,123,4
0,8,12,1,122,4
0,8,13,2,122,4
0,8,14,1,121,4
0,8,15,2,121,4
0,8,16,1,120,4
0,8,17,2,120,4
0,8,18,1,119,4
0,8,19,2,119,4
0,8,20,1,118,4
0,8,21,2,118,4
0,8,22,1,117,4
0,8,23,2,117,4
0,8,24,1,116,4
0,8,25,2,116,4
0,8,26,1,115,4
0,8,27,2,115,4
0,8,28,1,114,4
0,8,29,2,114,4
0,8,30,1,113,4
0,8,31,2,113,4
0,8,32,1,112,4
0,8,33,2,112,4
0,8,34,1,111,4
0,8,35,2,111,4
0,8,36,1,110,4
0,8,37,2,110,4
0,8,38,1,109,4
0,8,39,2,109,4
0,8,40,1,108,4
0,8,41,2,108,4
0,8,42,1,107,4
0,8,43,2,107,4
0,8,44,1,106,4
0,8,45,2,106,4
0,8,46,1,105,4
0,8,47,2,105,4
0,8,48,1,104,4
0,8,49,2,104,4
0,8,50,1,103,4
0,8,51,2,103,4
0,8,52,1,102,4
0,8,53,2,102,4
0,8,54,1,101,4
0,8,55,2,101,4
0,8,56,1,100,4
0,8,57,2,100,4
0,8,58,1,99,4
0,8,59,2,99,4
0,8,60,1,98,4
0,8,61,2,98,4
0,8,62,1,97,4
0,8,63,2,97,4
0,8,64,1,96,4
0,8,65,2,96,4
0,8,66,1,95,4
0,8,67,2,95,4
0,8,68,1,94,4
0,8,69,2,94,4
0,8,70,1,93,4
0,8,71,2,93,4
0,8,72,1,92,4
0,8,73,2,92,4
0,8,74,1,91,4
0,8,75,2,91,4
0,8,76,1,90,4
0,8,77,2,90,4
0,8,78,1,89,4
0,8,79,2,89,4
0,8,80,1,88,4
0,8,81,2,88,4
0,8,82,1,87,4
0,8,83,2,87,4
0,8,84,1,86,4
0,8,85,2,86,4
0,8,86,1,85,4
0,8,87,2,85,4
0,8,88,1,84,4
0,8,89,2,84,4
0,8,90,1,83,4
0,8,91,2,83,4
0,8,92,1,82,4
0,8,93,2,82,4
0,8,94,1,81,4
0,8,95,2,81,4
0,8,96,1,80,4
0,8,97,2,80,4
0,8,98,1,79,4
0,8,99,2,79,4
0,8,100,1,78,4
0,8,101,2,78,4
0,8,102,1,77,4
0,8,103,2,77,4
0,8,104,1,76,4
0,8,105,2,76,4
0,8,106,1,75,4
0,8,107,2,75,4
0,8,108,1,74,4
0,8,109,2,74,4
0,8,110,1,73,4
0,8,111,2,73,4
0,8,112,1,72,4
0,8,113,2,72,4
0,8,114,1,71,4
0,8,115,2,71,4
0,8,116,1,70,4
0,8,117,2,70,4
0,8,118,1,69,4
0,8,119,2,69,4
0,8,120,1,68,4
0,8,121,2,68,4
0,8,122,1,67,4
0,8,123,2,67,4
0,8,124,1,66,4
0,8,125,2,66,4
0,8,126,1,65,4
0,8,127,2,65,4
0,9,0,4,065,4
0,9,1,3,065,4
0,9,2,4,066,4
0,9,3,3,066,4
0,9,4,4,067,4
0,9,5,3,067,4
0,9,6,4,068,4
0,9,7,3,068,4
0,9,8,4,069,4
0,9,9,3,069,4
0,9,10,4,070,4
0,9,11,3,070,4
0,9,12,4,071,4
0,9,13,3,071,4
0,9,14,4,072,4
0,9,15,3,072,4
0,9,16,4,073,4
0,9,17,3,073,4
0,9,18,4,074,4
0,9,19,3,074,4
0,9,20,4,075,4
0,9,21,3,075,4
0,9,22,4,076,4
0,9,23,3,076,4
0,9,24,4,077,4
0,9,25,3,077,4
0,9,26,4,078,4
0,9,27,3,078,4
0,9,28,4,079,4
0,9,29,3,079,4
0,9,30,4,080,4
0,9,31,3,080,4
0,9,32,4,081,4
0,9,33,3,081,4
0,9,34,4,082,4
0,9,35,3,082,4
0,9,36,4,083,4
0,9,37,3,083,4
0,9,38,4,084,4
0,9,39,3,084,4
0,9,40,4,085,4
0,9,41,3,085,4
0,9,42,4,086,4
0,9,43,3,086,4
0,9,44,4,087,4
0,9,45,3,087,4
0,9,46,4,088,4
0,9,47,3,088,4
0,9,48,4,089,4
0,9,49,3,089,4
0,9,50,4,090,4
0,9,51,3,090,4
0,9,52,4,091,4
0,9,53,3,091,4
0,9,54,4,092,4
0,9,55,3,092,4
0,9,56,4,093,4
0,9,57,3,093,4
0,9,58,4,094,4
0,9,59,3,094,4
0,9,60,4,095,4
0,9,61,3,095,4
0,9,62,4,096,4
0,9,63,3,096,4
0,9,64,4,097,4
0,9,65,3,097,4
0,9,66,4,098,4
0,9,67,3,098,4
0,9,68,4,099,4
0,9,69,3,099,4
0,9,70,4,100,4
0,9,71,3,100,4
0,9,72,4,101,4
0,9,73,3,101,4
0,9,74,4,102,4
0,9,75,3,102,4
0,9,76,4,103,4
0,9,77,3,103,4
0,9,78,4,104,4
0,9,79,3,104,4
0,9,80,4,105,4
0,9,81,3,105,4
0,9,82,4,106,4
0,9,83,3,106,4
0,9,84,4,107,4
0,9,85,3,107,4
0,9,86,4,108,4
0,9,87,3,108,4
0,9,88,4,109,4
0,9,89,3,109,4
0,9,90,4,110,4
0,9,91,3,110,4
0,9,92,4,111,4
0,9,93,3,111,4
0,9,94,4,112,4
0,9,95,3,112,4
0,9,96,4,113,4
0,9,97,3,113,4
0,9,98,4,114,4
0,9,99,3,114,4
0,9,100,4,115,4
0,9,101,3,115,4
0,9,102,4,116,4
0,9,103,3,116,4
0,9,104,4,117,4
0,9,105,3,117,4
0,9,106,4,118,4
0,9,107,3,118,4
0,9,108,4,119,4
0,9,109,3,119,4
0,9,110,4,120,4
0,9,111,3,120,4
0,9,112,4,121,4
0,9,113,3,121,4
0,9,114,4,122,4
0,9,115,3,122,4
0,9,116,4,123,4
0,9,117,3,123,4
0,9,118,4,124,4
0,9,119,3,124,4
0,9,120,4,125,4
0,9,121,3,125,4
0,9,122,4,126,4
0,9,123,3,126,4
0,9,124,4,127,4
0,9,125,3,127,4
0,9,126,4,128,4
0,9,127,3,128,4
0,11,0,4,001,4
0,11,1,3,001,4
0,11,2,4,002,4
0,11,3,3,002,4
0,11,4,4,003,4
0,11,5,3,003,4
0,11,6,4,004,4
0,11,7,3,004,4
0,11,8,4,005,4
0,11,9,3,005,4
0,11,10,4,006,4
0,11,11,3,006,4
0,11,12,4,007,4
0,11,13,3,007,4
0,11,14,4,008,4
0,11,15,3,008,4
0,11,16,4,009,4
0,11,17,3,009,4
0,11,18,4,010,4
0,11,19,3,010,4
0,11,20,4,011,4
0,11,21,3,011,4
0,11,22,4,012,4
0,11,23,3,012,4
0,11,24,4,013,4
