strip,hrsPin,iEta,vfatId,vfatCh
75,124,7,1,105
74,126,7,1,107
73,128,7,1,109
72,130,7,1,111
71,132,7,1,113
70,134,7,1,115
69,136,7,1,117
68,138,7,1,119
67,140,7,1,121
66,142,7,1,123
65,146,7,1,125
64,148,7,1,127
224,7,7,9,0
225,9,7,9,2
226,13,7,9,4
227,15,7,9,6
228,17,7,9,8
229,19,7,9,10
230,21,7,9,12
231,23,7,9,14
232,25,7,9,16
233,27,7,9,18
234,29,7,9,20
235,31,7,9,22
236,35,7,9,24
237,37,7,9,26
238,39,7,9,28
239,41,7,9,30
240,43,7,9,32
241,45,7,9,34
242,47,7,9,36
243,49,7,9,38
244,51,7,9,40
245,53,7,9,42
246,57,7,9,44
247,59,7,9,46
248,61,7,9,48
249,63,7,9,50
250,65,7,9,52
251,67,7,9,54
252,69,7,9,56
253,71,7,9,58
254,73,7,9,60
255,75,7,9,62
128,79,7,9,64
129,81,7,9,66
130,83,7,9,68
131,85,7,9,70
132,87,7,9,72
133,89,7,9,74
134,91,7,9,76
135,93,7,9,78
136,95,7,9,80
137,97,7,9,82
138,101,7,9,84
139,103,7,9,86
140,105,7,9,88
141,107,7,9,90
142,109,7,9,92
143,111,7,9,94
144,113,7,9,96
145,115,7,9,98
146,117,7,9,100
147,119,7,9,102
148,123,7,9,104
149,125,7,9,106
150,127,7,9,108
151,129,7,9,110
152,131,7,9,112
153,133,7,9,114
154,135,7,9,116
155,137,7,9,118
156,139,7,9,120
157,141,7,9,122
158,145,7,9,124
159,147,7,9,126
224,7,7,9,0
225,9,7,9,2
226,13,7,9,4
227,15,7,9,6
228,17,7,9,8
229,19,7,9,10
230,21,7,9,12
231,23,7,9,14
232,25,7,9,16
233,27,7,9,18
234,29,7,9,20
235,31,7,9,22
236,35,7,9,24
237,37,7,9,26
238,39,7,9,28
239,41,7,9,30
240,43,7,9,32
241,45,7,9,34
242,47,7,9,36
243,49,7,9,38
244,51,7,9,40
245,53,7,9,42
246,57,7,9,44
247,59,7,9,46
248,61,7,9,48
249,63,7,9,50
250,65,7,9,52
251,67,7,9,54
252,69,7,9,56
253,71,7,9,58
254,73,7,9,60
255,75,7,9,62
128,79,7,9,64
129,81,7,9,66
130,83,7,9,68
131,85,7,9,70
132,87,7,9,72
133,89,7,9,74
134,91,7,9,76
135,93,7,9,78
136,95,7,9,80
137,97,7,9,82
138,101,7,9,84
139,103,7,9,86
140,105,7,9,88
141,107,7,9,90
142,109,7,9,92
143,111,7,9,94
144,113,7,9,96
145,115,7,9,98
146,117,7,9,100
147,119,7,9,102
148,123,7,9,104
149,125,7,9,106
150,127,7,9,108
151,129,7,9,110
152,131,7,9,112
153,133,7,9,114
154,135,7,9,116
155,137,7,9,118
156,139,7,9,120
157,141,7,9,122
158,145,7,9,124
159,147,7,9,126
223,8,7,9,1
222,10,7,9,3
221,14,7,9,5
220,16,7,9,7
219,18,7,9,9
218,20,7,9,11
217,22,7,9,13
216,24,7,9,15
215,26,7,9,17
214,28,7,9,19
213,30,7,9,21
212,32,7,9,23
211,36,7,9,25
210,38,7,9,27
209,40,7,9,29
208,42,7,9,31
207,44,7,9,33
206,46,7,9,35
205,48,7,9,37
204,50,7,9,39
203,52,7,9,41
202,54,7,9,43
201,58,7,9,45
200,60,7,9,47
199,62,7,9,49
198,64,7,9,51
197,66,7,9,53
196,68,7,9,55
195,70,7,9,57
194,72,7,9,59
193,74,7,9,61
192,76,7,9,63
191,80,7,9,65
190,82,7,9,67
189,84,7,9,69
188,86,7,9,71
187,88,7,9,73
186,90,7,9,75
185,92,7,9,77
184,94,7,9,79
183,96,7,9,81
182,98,7,9,83
181,102,7,9,85
180,104,7,9,87
179,106,7,9,89
178,108,7,9,91
177,110,7,9,93
176,112,7,9,95
175,114,7,9,97
174,116,7,9,99
173,118,7,9,101
172,120,7,9,103
171,124,7,9,105
170,126,7,9,107
169,128,7,9,109
168,130,7,9,111
167,132,7,9,113
166,134,7,9,115
165,136,7,9,117
164,138,7,9,119
163,140,7,9,121
162,142,7,9,123
161,146,7,9,125
160,148,7,9,127
223,8,7,9,1
222,10,7,9,3
221,14,7,9,5
220,16,7,9,7
219,18,7,9,9
218,20,7,9,11
217,22,7,9,13
216,24,7,9,15
215,26,7,9,17
214,28,7,9,19
213,30,7,9,21
212,32,7,9,23
211,36,7,9,25
210,38,7,9,27
209,40,7,9,29
208,42,7,9,31
207,44,7,9,33
206,46,7,9,35
205,48,7,9,37
204,50,7,9,39
203,52,7,9,41
202,54,7,9,43
201,58,7,9,45
200,60,7,9,47
199,62,7,9,49
198,64,7,9,51
197,66,7,9,53
196,68,7,9,55
195,70,7,9,57
194,72,7,9,59
193,74,7,9,61
192,76,7,9,63
191,80,7,9,65
190,82,7,9,67
189,84,7,9,69
188,86,7,9,71
187,88,7,9,73
186,90,7,9,75
185,92,7,9,77
184,94,7,9,79
183,96,7,9,81
182,98,7,9,83
181,102,7,9,85
180,104,7,9,87
179,106,7,9,89
178,108,7,9,91
177,110,7,9,93
176,112,7,9,95
175,114,7,9,97
174,116,7,9,99
173,118,7,9,101
172,120,7,9,103
171,124,7,9,105
170,126,7,9,107
169,128,7,9,109
168,130,7,9,111
167,132,7,9,113
166,134,7,9,115
165,136,7,9,117
164,138,7,9,119
163,140,7,9,121
162,142,7,9,123
161,146,7,9,125
160,148,7,9,127
320,7,7,17,0
321,9,7,17,2
322,13,7,17,4
323,15,7,17,6
324,17,7,17,8
325,19,7,17,10
326,21,7,17,12
327,23,7,17,14
328,25,7,17,16
329,27,7,17,18
330,29,7,17,20
331,31,7,17,22
332,35,7,17,24
333,37,7,17,26
334,39,7,17,28
335,41,7,17,30
336,43,7,17,32
337,45,7,17,34
338,47,7,17,36
339,49,7,17,38
340,51,7,17,40
341,53,7,17,42
342,57,7,17,44
343,59,7,17,46
344,61,7,17,48
345,63,7,17,50
346,65,7,17,52
347,67,7,17,54
348,69,7,17,56
349,71,7,17,58
350,73,7,17,60
351,75,7,17,62
352,79,7,17,64
353,81,7,17,66
354,83,7,17,68
355,85,7,17,70
356,87,7,17,72
357,89,7,17,74
358,91,7,17,76
359,93,7,17,78
360,95,7,17,80
361,97,7,17,82
362,101,7,17,84
363,103,7,17,86
364,105,7,17,88
365,107,7,17,90
366,109,7,17,92
367,111,7,17,94
368,113,7,17,96
369,115,7,17,98
370,117,7,17,100
371,119,7,17,102
372,123,7,17,104
373,125,7,17,106
374,127,7,17,108
375,129,7,17,110
376,131,7,17,112
377,133,7,17,114
378,135,7,17,116
379,137,7,17,118
380,139,7,17,120
381,141,7,17,122
382,145,7,17,124
383,147,7,17,126
320,7,7,17,0
321,9,7,17,2
322,13,7,17,4
323,15,7,17,6
324,17,7,17,8
325,19,7,17,10
326,21,7,17,12
327,23,7,17,14
328,25,7,17,16
329,27,7,17,18
330,29,7,17,20
331,31,7,17,22
332,35,7,17,24
333,37,7,17,26
334,39,7,17,28
335,41,7,17,30
336,43,7,17,32
337,45,7,17,34
338,47,7,17,36
339,49,7,17,38
340,51,7,17,40
341,53,7,17,42
342,57,7,17,44
343,59,7,17,46
344,61,7,17,48
345,63,7,17,50
346,65,7,17,52
347,67,7,17,54
348,69,7,17,56
349,71,7,17,58
350,73,7,17,60
351,75,7,17,62
352,79,7,17,64
353,81,7,17,66
354,83,7,17,68
355,85,7,17,70
356,87,7,17,72
357,89,7,17,74
358,91,7,17,76
359,93,7,17,78
360,95,7,17,80
361,97,7,17,82
362,101,7,17,84
363,103,7,17,86
364,105,7,17,88
365,107,7,17,90
