vfatId,vfatCh,iEta,strip
20,11,4,346
20,12,4,358
20,13,4,345
20,14,4,359
20,15,4,344
20,16,4,360
20,17,4,343
20,18,4,361
20,19,4,342
20,20,4,362
20,21,4,341
20,22,4,363
20,23,4,340
20,24,4,364
20,25,4,339
20,26,4,365
20,27,4,338
20,28,4,366
20,29,4,337
20,30,4,367
20,31,4,336
20,32,4,368
20,33,4,335
20,34,4,369
20,35,4,334
20,36,4,370
20,37,4,333
20,38,4,371
20,39,4,332
20,40,4,372
20,41,4,331
20,42,4,373
20,43,4,330
20,44,4,374
20,45,4,329
20,46,4,375
20,47,4,328
20,48,4,376
20,49,4,327
20,50,4,377
20,51,4,326
20,52,4,378
20,53,4,325
20,54,4,379
20,55,4,324
20,56,4,380
20,57,4,323
20,58,4,381
20,59,4,322
20,60,4,382
20,61,4,321
20,62,4,383
20,63,4,320
20,64,4,256
20,65,4,319
20,66,4,257
20,67,4,318
20,68,4,258
20,69,4,317
20,70,4,259
20,71,4,316
20,72,4,260
20,73,4,315
20,74,4,261
20,75,4,314
20,76,4,262
20,77,4,313
20,78,4,263
20,79,4,312
20,80,4,264
20,81,4,311
20,82,4,265
20,83,4,310
20,84,4,266
20,85,4,309
20,86,4,267
20,87,4,308
20,88,4,268
20,89,4,307
20,90,4,269
20,91,4,306
20,92,4,270
20,93,4,305
20,94,4,271
20,95,4,304
20,96,4,272
20,97,4,303
20,98,4,273
20,99,4,302
20,100,4,274
20,101,4,301
20,102,4,275
20,103,4,300
20,104,4,276
20,105,4,299
20,106,4,277
20,107,4,298
20,108,4,278
20,109,4,297
20,110,4,279
20,111,4,296
20,112,4,280
20,113,4,295
20,114,4,281
20,115,4,294
20,116,4,282
20,117,4,293
20,118,4,283
20,119,4,292
20,120,4,284
20,121,4,291
20,122,4,285
20,123,4,290
20,124,4,286
20,125,4,289
20,126,4,287
20,127,4,288
19,0,5,352
19,1,5,351
19,2,5,353
19,3,5,350
19,4,5,354
19,5,5,349
19,6,5,355
19,7,5,348
19,8,5,356
19,9,5,347
19,10,5,357
19,11,5,346
19,12,5,358
19,13,5,345
19,14,5,359
19,15,5,344
19,16,5,360
19,17,5,343
19,18,5,361
19,19,5,342
19,20,5,362
19,21,5,341
19,22,5,363
19,23,5,340
19,24,5,364
19,25,5,339
19,26,5,365
19,27,5,338
19,28,5,366
19,29,5,337
19,30,5,367
19,31,5,336
19,32,5,368
19,33,5,335
19,34,5,369
19,35,5,334
19,36,5,370
19,37,5,333
19,38,5,371
19,39,5,332
19,40,5,372
19,41,5,331
19,42,5,373
19,43,5,330
19,44,5,374
19,45,5,329
19,46,5,375
19,47,5,328
19,48,5,376
19,49,5,327
19,50,5,377
19,51,5,326
19,52,5,378
19,53,5,325
19,54,5,379
19,55,5,324
19,56,5,380
19,57,5,323
19,58,5,381
19,59,5,322
19,60,5,382
19,61,5,321
19,62,5,383
19,63,5,320
19,64,5,256
19,65,5,319
19,66,5,257
19,67,5,318
19,68,5,258
19,69,5,317
19,70,5,259
19,71,5,316
19,72,5,260
19,73,5,315
19,74,5,261
19,75,5,314
19,76,5,262
19,77,5,313
19,78,5,263
19,79,5,312
19,80,5,264
19,81,5,311
19,82,5,265
19,83,5,310
19,84,5,266
19,85,5,309
19,86,5,267
19,87,5,308
19,88,5,268
19,89,5,307
19,90,5,269
19,91,5,306
19,92,5,270
19,93,5,305
19,94,5,271
19,95,5,304
19,96,5,272
19,97,5,303
19,98,5,273
19,99,5,302
19,100,5,274
19,101,5,301
19,102,5,275
19,103,5,300
19,104,5,276
19,105,5,299
19,106,5,277
19,107,5,298
19,108,5,278
19,109,5,297
19,110,5,279
19,111,5,296
19,112,5,280
19,113,5,295
19,114,5,281
19,115,5,294
19,116,5,282
19,117,5,293
19,118,5,283
19,119,5,292
19,120,5,284
19,121,5,291
19,122,5,285
19,123,5,290
19,124,5,286
19,125,5,289
19,126,5,287
19,127,5,288
18,0,6,352
18,1,6,351
18,2,6,353
18,3,6,350
18,4,6,354
18,5,6,349
18,6,6,355
18,7,6,348
18,8,6,356
18,9,6,347
18,10,6,357
18,11,6,346
18,12,6,358
18,13,6,345
18,14,6,359
18,15,6,344
18,16,6,360
18,17,6,343
18,18,6,361
18,19,6,342
18,20,6,362
18,21,6,341
18,22,6,363
18,23,6,340
18,24,6,364
18,25,6,339
18,26,6,365
18,27,6,338
18,28,6,366
18,29,6,337
18,30,6,367
18,31,6,336
18,32,6,368
18,33,6,335
18,34,6,369
18,35,6,334
18,36,6,370
18,37,6,333
18,38,6,371
18,39,6,332
18,40,6,372
18,41,6,331
18,42,6,373
18,43,6,330
18,44,6,374
18,45,6,329
18,46,6,375
18,47,6,328
18,48,6,376
18,49,6,327
18,50,6,377
18,51,6,326
18,52,6,378
18,53,6,325
18,54,6,379
18,55,6,324
18,56,6,380
18,57,6,323
18,58,6,381
18,59,6,322
18,60,6,382
18,61,6,321
18,62,6,383
18,63,6,320
18,64,6,256
18,65,6,319
18,66,6,257
18,67,6,318
18,68,6,258
18,69,6,317
18,70,6,259
18,71,6,316
18,72,6,260
18,73,6,315
18,74,6,261
18,75,6,314
18,76,6,262
18,77,6,313
18,78,6,263
18,79,6,312
18,80,6,264
18,81,6,311
18,82,6,265
18,83,6,310
18,84,6,266
18,85,6,309
18,86,6,267
18,87,6,308
18,88,6,268
18,89,6,307
18,90,6,269
18,91,6,306
18,92,6,270
18,93,6,305
18,94,6,271
18,95,6,304
18,96,6,272
18,97,6,303
18,98,6,273
18,99,6,302
18,100,6,274
18,101,6,301
18,102,6,275
18,103,6,300
18,104,6,276
18,105,6,299
18,106,6,277
18,107,6,298
18,108,6,278
18,109,6,297
18,110,6,279
18,111,6,296
18,112,6,280
18,113,6,295
18,114,6,281
18,115,6,294
18,116,6,282
18,117,6,293
18,118,6,283
18,119,6,292
18,120,6,284
18,121,6,291
18,122,6,285
18,123,6,290
18,124,6,286
18,125,6,289
18,126,6,287
18,127,6,288
17,0,7,352
17,1,7,351
17,2,7,353
17,3,7,350
17,4,7,354
17,5,7,349
17,6,7,355
17,7,7,348
17,8,7,356
17,9,7,347
17,10,7,357
17,11,7,346
17,12,7,358
17,13,7,345
17,14,7,359
17,15,7,344
17,16,7,360
17,17,7,343
17,18,7,361
17,19,7,342
17,20,7,362
17,21,7,341
17,22,7,363
17,23,7,340
17,24,7,364
17,25,7,339
17,26,7,365
17,27,7,338
17,28,7,366
17,29,7,337
17,30,7,367
