vfatId,vfatCh,iEta,strip
8,111,2,73
8,112,1,72
8,113,2,72
8,114,1,71
8,115,2,71
8,116,1,70
8,117,2,70
8,118,1,69
8,119,2,69
8,120,1,68
8,121,2,68
8,122,1,67
8,123,2,67
8,124,1,66
8,125,2,66
8,126,1,65
8,127,2,65
9,0,4,065
9,1,3,065
9,2,4,066
9,3,3,066
9,4,4,067
9,5,3,067
9,6,4,068
9,7,3,068
9,8,4,069
9,9,3,069
9,10,4,070
9,11,3,070
9,12,4,071
9,13,3,071
9,14,4,072
9,15,3,072
9,16,4,073
9,17,3,073
9,18,4,074
9,19,3,074
9,20,4,075
9,21,3,075
9,22,4,076
9,23,3,076
9,24,4,077
9,25,3,077
9,26,4,078
9,27,3,078
9,28,4,079
9,29,3,079
9,30,4,080
9,31,3,080
9,32,4,081
9,33,3,081
9,34,4,082
9,35,3,082
9,36,4,083
9,37,3,083
9,38,4,084
9,39,3,084
9,40,4,085
9,41,3,085
9,42,4,086
9,43,3,086
9,44,4,087
9,45,3,087
9,46,4,088
9,47,3,088
9,48,4,089
9,49,3,089
9,50,4,090
9,51,3,090
9,52,4,091
9,53,3,091
9,54,4,092
9,55,3,092
9,56,4,093
9,57,3,093
9,58,4,094
9,59,3,094
9,60,4,095
9,61,3,095
9,62,4,096
9,63,3,096
9,64,4,097
9,65,3,097
9,66,4,098
9,67,3,098
9,68,4,099
9,69,3,099
9,70,4,100
9,71,3,100
9,72,4,101
9,73,3,101
9,74,4,102
9,75,3,102
9,76,4,103
9,77,3,103
9,78,4,104
9,79,3,104
9,80,4,105
9,81,3,105
9,82,4,106
9,83,3,106
9,84,4,107
9,85,3,107
9,86,4,108
9,87,3,108
9,88,4,109
9,89,3,109
9,90,4,110
9,91,3,110
9,92,4,111
9,93,3,111
9,94,4,112
9,95,3,112
9,96,4,113
9,97,3,113
9,98,4,114
9,99,3,114
9,100,4,115
9,101,3,115
9,102,4,116
9,103,3,116
9,104,4,117
9,105,3,117
9,106,4,118
9,107,3,118
9,108,4,119
9,109,3,119
9,110,4,120
9,111,3,120
9,112,4,121
9,113,3,121
9,114,4,122
9,115,3,122
9,116,4,123
9,117,3,123
9,118,4,124
9,119,3,124
9,120,4,125
9,121,3,125
9,122,4,126
9,123,3,126
9,124,4,127
9,125,3,127
9,126,4,128
9,127,3,128
11,0,4,001
11,1,3,001
11,2,4,002
11,3,3,002
11,4,4,003
11,5,3,003
11,6,4,004
11,7,3,004
11,8,4,005
11,9,3,005
11,10,4,006
11,11,3,006
11,12,4,007
11,13,3,007
11,14,4,008
11,15,3,008
11,16,4,009
11,17,3,009
11,18,4,010
11,19,3,010
11,20,4,011
11,21,3,011
11,22,4,012
11,23,3,012
11,24,4,013
11,25,3,013
11,26,4,014
11,27,3,014
11,28,4,015
11,29,3,015
11,30,4,016
11,31,3,016
11,32,4,017
11,33,3,017
11,34,4,018
11,35,3,018
11,36,4,019
11,37,3,019
11,38,4,020
11,39,3,020
11,40,4,021
11,41,3,021
11,42,4,022
11,43,3,022
11,44,4,023
11,45,3,023
11,46,4,024
11,47,3,024
11,48,4,025
11,49,3,025
11,50,4,026
11,51,3,026
11,52,4,027
11,53,3,027
11,54,4,028
11,55,3,028
11,56,4,029
11,57,3,029
11,58,4,030
11,59,3,030
11,60,4,031
11,61,3,031
11,62,4,032
11,63,3,032
11,64,4,033
11,65,3,033
11,66,4,034
11,67,3,034
11,68,4,035
11,69,3,035
11,70,4,036
11,71,3,036
11,72,4,037
11,73,3,037
11,74,4,038
11,75,3,038
11,76,4,039
11,77,3,039
11,78,4,040
11,79,3,040
11,80,4,041
11,81,3,041
11,82,4,042
11,83,3,042
11,84,4,043
11,85,3,043
11,86,4,044
11,87,3,044
11,88,4,045
11,89,3,045
11,90,4,046
11,91,3,046
11,92,4,047
11,93,3,047
11,94,4,048
11,95,3,048
11,96,4,049
11,97,3,049
11,98,4,050
11,99,3,050
11,100,4,051
11,101,3,051
11,102,4,052
11,103,3,052
11,104,4,053
11,105,3,053
11,106,4,054
11,107,3,054
11,108,4,055
11,109,3,055
11,110,4,056
11,111,3,056
11,112,4,057
11,113,3,057
11,114,4,058
11,115,3,058
11,116,4,059
11,117,3,059
11,118,4,060
11,119,3,060
11,120,4,061
11,121,3,061
11,122,4,062
11,123,3,062
11,124,4,063
11,125,3,063
11,126,4,064
11,127,3,064
7,0,4,129
7,1,3,129
7,2,4,130
7,3,3,130
7,4,4,131
7,5,3,131
7,6,4,132
7,7,3,132
7,8,4,133
7,9,3,133
7,10,4,134
7,11,3,134
7,12,4,135
7,13,3,135
7,14,4,136
7,15,3,136
7,16,4,137
7,17,3,137
7,18,4,138
7,19,3,138
7,20,4,139
7,21,3,139
7,22,4,140
7,23,3,140
7,24,4,141
7,25,3,141
7,26,4,142
7,27,3,142
7,28,4,143
7,29,3,143
7,30,4,144
7,31,3,144
7,32,4,145
7,33,3,145
7,34,4,146
